              component smsmass1 smsmass2 htbin njetbin mhtbin   xi   n nvar
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800  0.1   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800 0.15   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800  0.2   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800 0.25   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800  0.3   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800 0.35   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800  0.4   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800 0.45   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800  0.5   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800 0.55   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800  0.6   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800 0.65   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800  0.7   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800 0.75   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800  0.8   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800 0.85   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800  0.9   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800 0.95   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800  1.0   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800 1.05   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800  1.1   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800 1.15   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800  1.2   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130    0  66   66
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130 0.05  58   58
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130  0.1  56   56
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130 0.15  48   48
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130  0.2  33   33
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130 0.25  29   29
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130  0.3  29   29
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130 0.35  28   28
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130  0.4  22   22
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130 0.45  11   11
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130  0.5  12   12
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130 0.55  20   20
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130  0.6   9    9
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130 0.65  15   15
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130  0.7  11   11
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130 0.75   5    5
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130  0.8   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130 0.85   5    5
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130  0.9   1    1
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130 0.95   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130  1.0   2    2
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130 1.05   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200    0  60   60
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200 0.05  60   60
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200  0.1  51   51
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200 0.15  33   33
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200  0.2  45   45
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200 0.25  35   35
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200  0.3  33   33
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200 0.35  35   35
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200  0.4  26   26
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200 0.45  17   17
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200  0.5  25   25
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200 0.55  23   23
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200  0.6  16   16
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200 0.65  14   14
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200  0.7  21   21
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200 0.75  20   20
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200  0.8  17   17
