              component smsmass1 smsmass2 htbin njetbin mhtbin minOmegaTilde  n nvar
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200           0.3  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200          0.35  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200           0.4  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200          0.45  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200           0.5  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200          0.55  2    2
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200           0.6  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200          0.65  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200           0.7  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200          0.75  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200           0.8  2    2
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200          0.85  1    1
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200           0.9  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200          0.95  1    1
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200           1.0  1    1
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200          1.05  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    400          0.55  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    400           0.8  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    400          0.85  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    400          0.95  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    400           1.0  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    130           0.1  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    130          0.15  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    130           0.2  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    130           0.3  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    130          0.35  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    130           0.4  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    130          0.45  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    130           0.5  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    130          0.55  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    130           0.7  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    130          0.75  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    130          0.85  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    130           0.9  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    130          0.95  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    200          0.55  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    200           0.8  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    200          0.85  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    200          0.95  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    200           1.0  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    130          0.15  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    130           0.2  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    130          0.25  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    130           0.3  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    130          0.35  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    130           0.4  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    130           0.5  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    130          0.55  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    130           0.6  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    130           0.7  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    200             0  3    3
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    200          0.05  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    200           0.1  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    200          0.15  2    2
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    200           0.2  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    200          0.25  1    1
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    200           0.3  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    200           0.4  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    200          0.45  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    200           0.5  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    200           0.6  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    200          0.65  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    200           0.7  1    1
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    200          0.75  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    400             0  1    1
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    400          0.05  1    1
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    400           0.1  1    1
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    400          0.15  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    400          0.25  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    400           0.3  1    1
