                    component htbin njetbin mhtbin   xi     n  nvar
   QCD_HT300to500_madgraphMLM   200       2    200  0.2     0     0
   QCD_HT300to500_madgraphMLM   200       2    200 0.25     0     0
   QCD_HT300to500_madgraphMLM   200       2    200  0.3     0     0
   QCD_HT300to500_madgraphMLM   200       2    200 0.35     0     0
   QCD_HT300to500_madgraphMLM   200       2    200  0.4     0     0
   QCD_HT300to500_madgraphMLM   200       2    200 0.45     0     0
   QCD_HT300to500_madgraphMLM   200       2    200  0.5     0     0
   QCD_HT300to500_madgraphMLM   200       2    200 0.55     0     0
   QCD_HT300to500_madgraphMLM   200       2    200  0.6     0     0
   QCD_HT300to500_madgraphMLM   200       2    200 0.65     0     0
   QCD_HT300to500_madgraphMLM   200       2    200  0.7     0     0
   QCD_HT300to500_madgraphMLM   200       2    200 0.75     2     2
   QCD_HT300to500_madgraphMLM   200       2    200  0.8     0     0
   QCD_HT300to500_madgraphMLM   200       2    400    0     0     0
   QCD_HT300to500_madgraphMLM   200       2    400  0.1     0     0
   QCD_HT300to500_madgraphMLM   200       2    400 0.75     0     0
   QCD_HT300to500_madgraphMLM   200       3    130    0    75    75
   QCD_HT300to500_madgraphMLM   200       3    130 0.05    57    57
   QCD_HT300to500_madgraphMLM   200       3    130  0.1    27    27
   QCD_HT300to500_madgraphMLM   200       3    130 0.15    20    20
   QCD_HT300to500_madgraphMLM   200       3    130  0.2    14    14
   QCD_HT300to500_madgraphMLM   200       3    130 0.25    17    17
   QCD_HT300to500_madgraphMLM   200       3    130  0.3    12    12
   QCD_HT300to500_madgraphMLM   200       3    130 0.35     6     6
   QCD_HT300to500_madgraphMLM   200       3    130  0.4    12    12
   QCD_HT300to500_madgraphMLM   200       3    130 0.45     6     6
   QCD_HT300to500_madgraphMLM   200       3    130  0.5     4     4
   QCD_HT300to500_madgraphMLM   200       3    130 0.55     4     4
   QCD_HT300to500_madgraphMLM   200       3    130  0.6     1     1
   QCD_HT300to500_madgraphMLM   200       3    130 0.65     4     4
   QCD_HT300to500_madgraphMLM   200       3    130  0.7     0     0
   QCD_HT300to500_madgraphMLM   200       3    130 0.75     2     2
   QCD_HT300to500_madgraphMLM   200       3    130  0.8     2     2
   QCD_HT300to500_madgraphMLM   200       3    130 0.85     0     0
   QCD_HT300to500_madgraphMLM   200       3    130  0.9     1     1
   QCD_HT300to500_madgraphMLM   200       3    130 0.95     0     0
   QCD_HT300to500_madgraphMLM   200       3    200    0     0     0
   QCD_HT300to500_madgraphMLM   200       3    200 0.05     1     1
   QCD_HT300to500_madgraphMLM   200       3    200  0.1     0     0
   QCD_HT300to500_madgraphMLM   200       3    200 0.15     0     0
   QCD_HT300to500_madgraphMLM   200       3    200  0.2     0     0
   QCD_HT300to500_madgraphMLM   200       3    200 0.25     0     0
   QCD_HT300to500_madgraphMLM   200       3    200  0.3     0     0
   QCD_HT300to500_madgraphMLM   200       3    200 0.35     0     0
   QCD_HT300to500_madgraphMLM   200       3    200  0.4     0     0
   QCD_HT300to500_madgraphMLM   200       3    200 0.45     0     0
   QCD_HT300to500_madgraphMLM   200       3    200  0.5     0     0
   QCD_HT300to500_madgraphMLM   200       3    200 0.55     0     0
   QCD_HT300to500_madgraphMLM   200       3    200  0.6     0     0
   QCD_HT300to500_madgraphMLM   200       3    200 0.65     0     0
   QCD_HT300to500_madgraphMLM   200       3    200 0.75     0     0
   QCD_HT300to500_madgraphMLM   200       3    200  0.8     0     0
